trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
324,False,"{'a': 0.01, 'e': 0.039163895098987066}",20,0,25.523733958346366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
325,False,"{'a': 0.01, 'e': 0.03877420783172201}",25,11,20.627336553823834,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.01, 'e': 0.03838839801755206}",30,7,29.33091055806807,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.01, 'e': 0.038006427075174314}",25,8,27.222017375049603,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.01, 'e': 0.0376282568071762}",20,16,7.501635286659283,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.01, 'e': 0.03725384939621581}",20,6,21.75138933345863,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.01, 'e': 0.036883167401239994}",25,11,29.014557478954682,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.01, 'e': 0.0365161737537404}",30,20,18.691985616948173,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.01, 'e': 0.03615283175404641}",25,9,-15.014989928714932,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
333,False,"{'a': 0.01, 'e': 0.0357931050676553}",30,18,19.873614823736183,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.01, 'e': 0.03543695772159864}",25,10,24.908855057655884,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.01, 'e': 0.03508435410084502}",25,11,25.119547206054225,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.01, 'e': 0.03473525894473856}",25,15,14.776626858519366,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.01, 'e': 0.03438963734347271}",30,19,19.983868706035572,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.01, 'e': 0.034047454734599344}",25,13,21.592896031151852,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.01, 'e': 0.0337086768995724}",25,0,33.063876385312646,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
340,False,"{'a': 0.01, 'e': 0.03337326996032608}",30,12,28.881873209627944,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.01, 'e': 0.03304120037588693}",30,20,18.752887936483592,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.01, 'e': 0.03271243493901982}",20,12,15.295269170840267,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
343,False,"{'a': 0.01, 'e': 0.03238694077290704}",25,17,11.213888049981312,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
344,False,"{'a': 0.01, 'e': 0.032064685327860776}",20,1,13.587564886527117,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
345,False,"{'a': 0.01, 'e': 0.03174563637806794}",30,6,17.47704836009453,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
346,False,"{'a': 0.01, 'e': 0.03142976201836771}",25,14,22.293350498544203,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.01, 'e': 0.03111703066106086}",20,10,7.600427889855657,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
348,False,"{'a': 0.01, 'e': 0.03080741103275108}",30,0,44.94544658605693,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
349,False,"{'a': 0.01, 'e': 0.03050087217121748}",20,11,14.808483055332777,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.01, 'e': 0.030197383422318504}",25,17,19.070847586465906,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.01, 'e': 0.029896914436926308}",25,8,17.2110676720297,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
